event_key,frameId,matching_score,event_name,period_id,possession_number,playing_block_number,event_secs,tracking_secs,tr_x,adjusted_x,tr_y,adjusted_y,teamId,possession_team_id,possessionSide,playerId,opponentId,player_on_frame
2222010895,633,0.7584906364067103,50/50,1,1,1,21.2,21.066666666666663,62.43,66.99,12.052753623188403,12.104000000000001,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,unknown,f53baced004e706c14e75f1517bd2ed17bae041919fa9c9b225a0bc1a8712826,957e96878335293e1b2d97a906ccf182c725390214158f4e0f54c56b0cf41fb1,True
2211496863,635,0.4745059172052833,Interception,1,1,1,21.3,21.133333333333333,67.84,65.73,13.195942028985508,12.376000000000001,66fae705a10eba94c95996e92357a5a6e4988f27152e19905db6a230a5e48a2c,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,unknown,957e96878335293e1b2d97a906ccf182c725390214158f4e0f54c56b0cf41fb1,,False
2211496883,706,0.8703573441678668,Pass,1,1,1,23.5,23.5,51.99,50.4,20.20289855072464,21.215999999999998,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,unknown,aa96464d2088f91d0f9fe2e78e6d609854dc28860f10cc1f9b7557306f833cc3,,True
2211496899,770,0.8549071292840932,Pass,1,1,1,25.8,25.633333333333333,38.7,39.48,22.72579710144928,24.072,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,unknown,a295a138484cecf22212ad9f65be919fd385667e19fc88494eee2606ea962a46,,True
2211496915,842,0.826821738934419,Pass,1,1,1,28.1,28.03333333333333,40.19,43.47,10.288695652173914,11.015999999999998,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,unknown,9f43f887be46814fd9e7190b0296432ddd2c83ea3ac1aabfc74132fc8bb57d02,,True
2211496917,867,0.553571153111528,Pass,1,1,1,28.9,28.866666666666667,51.99,49.35,11.796521739130434,13.804,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,unknown,f53baced004e706c14e75f1517bd2ed17bae041919fa9c9b225a0bc1a8712826,,True
2211496935,925,0.8343564823807819,Pass,1,1,1,30.8,30.8,50.33,47.145,1.5571014492753603,3.6039999999999996,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,unknown,eed08a1e908beb8c77510b8d8ee0dab681d611fe5a7716187677360f3039e711,,True
2211559411,984,0.6076074588035956,50/50,1,1,1,32.0,32.766666666666666,61.74,63.84,7.204057971014492,12.58,66fae705a10eba94c95996e92357a5a6e4988f27152e19905db6a230a5e48a2c,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,unknown,957e96878335293e1b2d97a906ccf182c725390214158f4e0f54c56b0cf41fb1,efe57814ad66d98aec04cec9279350a9454065bebacac0a0d83c4efac16fac65,True
2211559409,984,0.38520778229378916,50/50,1,1,1,32.0,32.766666666666666,62.86,63.84,9.125797101449276,12.58,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,unknown,efe57814ad66d98aec04cec9279350a9454065bebacac0a0d83c4efac16fac65,957e96878335293e1b2d97a906ccf182c725390214158f4e0f54c56b0cf41fb1,True
2211496979,985,0.6106160334947475,Interception,1,1,1,32.0,32.8,61.74,64.89,7.204057971014492,11.696000000000002,66fae705a10eba94c95996e92357a5a6e4988f27152e19905db6a230a5e48a2c,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,unknown,957e96878335293e1b2d97a906ccf182c725390214158f4e0f54c56b0cf41fb1,,True
2211496953,992,0.7251319794014897,Aerial,1,1,1,33.5,33.03333333333333,61.43,64.26,6.563478260869565,7.072000000000004,66fae705a10eba94c95996e92357a5a6e4988f27152e19905db6a230a5e48a2c,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,unknown,957e96878335293e1b2d97a906ccf182c725390214158f4e0f54c56b0cf41fb1,f53baced004e706c14e75f1517bd2ed17bae041919fa9c9b225a0bc1a8712826,True
2211496949,992,0.7275668296359306,Aerial,1,1,1,33.5,33.03333333333333,59.99,64.26,4.060289855072465,7.072,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,unknown,f53baced004e706c14e75f1517bd2ed17bae041919fa9c9b225a0bc1a8712826,957e96878335293e1b2d97a906ccf182c725390214158f4e0f54c56b0cf41fb1,True
